Company Name,Scrip Code
aptech ltd.,532475
aptus value housing finance india ltd.,543335
arambhan hospitality services ltd.,539403
aravali securities & finance ltd.,512344
arc finance ltd.,540135
arcee industries ltd.,520121
archean chemical industries ltd.,543657
archidply decor ltd.,543231
archidply industries ltd.,532994
archies ltd.,532212
archit organosys ltd.,524640
arcl organics ltd.,543993
arcotech ltd.,532914
ardi investment & trading company ltd.,504370
arex industries ltd.,526851
arfin india ltd.,539151
aries agro ltd.,532935
arigato universe ltd.,530267
arihant capital markets ltd.,511605
arihant foundations & housing ltd.,531381
arihant institute ltd.,541401
arihant superstructures ltd.,506194
arihants securities ltd.,531017
aris international ltd.,531677
arisinfra solutions ltd.,544419
arkade developers ltd.,544261
arman financial services ltd.,531179
arman holdings ltd.,538556
arnold holdings ltd.,537069
aro granite industries ltd.,513729
aroma enterprises (india) ltd.,531560
arrow greentech ltd.,516064
arrowhead seperation engineering ltd.,544025
arshiya ltd.,506074
arss infrastructure projects ltd.,533163
artech power & trading ltd.,517481
artefact projects ltd.,531297
artemis electricals and projects ltd.,542670
artemis medicare services ltd.,542919
artificial electronics intelligent material ltd.,526443
artson ltd.,522134
aruna hotels ltd.,500016
arunis abode ltd.,526935
arunjyoti bio ventures ltd.,530881
arvind fashions ltd.,542484
arvind ltd.,500101
arvind smartspaces ltd.,539301
aryaman capital markets ltd.,538716
aryaman financial services ltd.,530245
aryan shares & stock brokers ltd.,542176
asahi india glass ltd.,515030
asahi industries ltd.,514482
asahi infrastructure & projects ltd.,512535
asahi songwon colors ltd.,532853
asarfi hospital ltd.,543943
ascensive educare ltd.,543443
aseem global ltd.,534564
ashapura minechem ltd.,527001
ashapuri gold ornament ltd.,542579
ashari agencies ltd.,540024
ashiana agro industries ltd.,519174
ashiana housing ltd.,523716
ashiana ispat ltd.,513401
ashika credit capital ltd.,543766
ashima ltd.,514286
ashirwad capital ltd.,512247
ashirwad steels & industries ltd.,526847
ashish polyplast ltd.,530429
ashnisha industries ltd.,541702
ashnoor textile mills ltd.,507872
ashok leyland ltd.,500477
ashoka buildcon ltd.,533271
ashoka metcast ltd.,540923
ashoka refineries ltd.,526983
ashram online.com ltd.,526187
ashtasidhhi industries ltd.,531341
asi industries ltd.,502015
asia capital ltd.,538777
asia pack ltd.,530899
asian energy services ltd.,530355
asian fertilizers ltd.,524695
asian flora ltd.,531392
asian granito india ltd.,532888
asian hotels (east) ltd.,533227
asian hotels (north) ltd.,500023
asian hotels (west) ltd.,533221
asian paints ltd.,500820
asian petroproducts & exports ltd.,524434
asian star company ltd.,531847
asian tea exports ltd.,519532
asian warehousing ltd.,543927
asis logistics ltd.,506159
asit c mehta financial services ltd.,530723
ask automotive ltd.,544022
asm technologies ltd.,526433
aspira pathlab & diagnostics ltd.,540788
assam entrade ltd.,542911
associated alcohols & breweries ltd.,507526
associated ceramics ltd.,531168
associated coaters ltd.,544183
asston pharmaceuticals ltd.,544445
astal laboratories ltd.,512600
astec lifesciences ltd.,533138
aster dm healthcare ltd.,540975
astonea labs ltd.,544409
astra microwave products ltd.,532493
astral ltd.,532830
astrazeneca pharma india ltd.,506820
astron paper & board mill ltd.,540824
asutosh enterprises ltd.,512433
atal realtech ltd.,543911
atam valves ltd.,543236
atcom technologies ltd.,527007
aten papers & foam ltd.,544417
atharv enterprises ltd.,530187
athena constructions ltd.,539099
athena global technologies ltd.,517429
ather energy ltd.,544397
atishay ltd.,538713
atlanta electricals ltd.,544527
atlanta infrastructure and finance ltd.,530479
atlantaa ltd,532759
atlas cycles (haryana) ltd.,505029
atlas jewellery india ltd.,514394
atn international ltd.,511427
atul auto ltd.,531795
atul ltd.,500027
atv projects india ltd.,500028
atvo enterprises ltd.,532090
au small finance bank ltd.,540611
aurionpro solutions ltd.,532668
auro laboratories ltd.,530233
aurobindo pharma ltd.,524804
aurum proptech ltd.,539289
ausom enterprise ltd.,509009
austere systems ltd.,544505
austin engineering company ltd.,522005
authum investment & infrastructure ltd.,539177
auto pins (india) ltd.,531994
autoline industries ltd.,532797
automobile corporation of goa ltd.,505036
automotive axles ltd.,505010
automotive stampings and assemblies ltd.,520119
autoriders finance ltd.,500030
autoriders international ltd.,512277
avadh sugar & energy ltd.,540649
available finance ltd.,531310
avalon technologies ltd.,543896
avance technologies ltd.,512149
avantel ltd.,532406
avanti feeds ltd.,512573
avasara finance ltd.,511730
avax apparels and ornaments ltd.,544337
aveer foods ltd.,543737
avenue supermarts ltd.,540376
avg logistics ltd.,543910
avi polymers ltd.,539288
avi products india ltd.,523896
avishkar infra realty ltd.,508929
aviva industries ltd.,512109
avon mercantile ltd.,512265
avonmore capital & management services ltd.,511589
avro india ltd.,543512
avt natural products ltd.,519105
awfis space solutions ltd,544181
awl agri business ltd.,543458
axel polymers ltd.,513642
axis bank ltd.,532215
axis solutions ltd.,511144
axiscades technologies ltd.,532395
axita cotton ltd.,542285
axtel industries ltd.,523850
aym syntex ltd.,508933
azad engineering ltd.,544061
azad india mobility ltd.,504731
aztec fluids & machinery ltd.,544177
b c power controls ltd.,537766
b l kashyap & sons ltd.,532719
b n rathi securities ltd.,523019
b p capital ltd.,536965
b&a ltd.,508136
b&a packaging india ltd.,523186
b&b realty ltd.,506971
b&b triplewall containers ltd.,543668
b-right realestate ltd.,543543
b.d. industries (pune) ltd.,544468
b.r.goyal infrastructure ltd.,544335
b2b software technologies ltd.,531268
baazar style retail ltd.,544243
baba arts ltd.,532380
bacil pharma ltd.,524516
baffin engineering projects ltd.,532161
bafna pharmaceuticals ltd.,532989
bag films & media ltd.,532507
baid finserv ltd.,511724
bajaj auto ltd.,532977
bajaj consumer care ltd.,533229
bajaj electricals ltd.,500031
bajaj finance ltd.,500034
bajaj finserv ltd.,532978
bajaj healthcare ltd.,539872
bajaj hindusthan sugar ltd.,500032
bajaj holdings & investment ltd.,500490
bajaj housing finance ltd.,544252
bajaj steel industries ltd.,507944
bajel projects ltd.,544042
bal pharma ltd.,524824
balaji amines ltd.,530999
balaji telefilms ltd.,532382
balasore alloys ltd.,513142
balgopal commercial ltd.,539834
balkrishna industries ltd.,502355
balkrishna paper mills ltd.,539251
ballarpur industries ltd.,500102
balmer lawrie & company ltd.,523319
balmer lawrie investments ltd.,532485
balrampur chini mills ltd.,500038
balu forge industries ltd.,531112
balurghat technologies ltd.,520127
bambino agro industries ltd.,519295
bampsl securities ltd.,531591
banaras beads ltd.,526849
banas finance ltd.,509053
banco products (india) ltd.,500039
bandaram pharma packtech ltd.,524602
bandhan bank ltd.,541153
bang overseas ltd.,532946
bangalore fort farms ltd.,539120
banganga paper industries ltd.,512025
bank of baroda,532134
bank of india,532149
bank of maharashtra,532525
bannari amman spinning mills ltd.,532674
